Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,124215843,1591.2234139050747,3533457,45.26410942947741,517342,2734374,35.027737413280484,63045,0.8076158218371984,10530,
United States of America,Americas,29653604,8958.72,392832,118.68,58755,539027,162.85,7172,2.17,775,Community transmission
Brazil,Americas,12130019,5706.65,526484,247.69,82493,298676,140.51,16549,7.79,3251,Community transmission
India,South-East Asia,11787534,854.17,312929,22.68,53476,160692,11.64,1476,0.11,251,Clusters of cases
Russian Federation,Europe,4483471,3072.25,65035,44.56,8861,96219,65.93,2855,1.96,401,Clusters of cases
The United Kingdom,Europe,4307308,6344.91,38483,56.69,5379,126284,186.02,594,0.87,112,Community transmission
France,Europe,4240732,6496.87,202987,310.98,13530,92363,141.5,1706,2.61,269,Community transmission
Italy,Europe,3419616,5655.83,160846,266.03,18739,105879,175.12,2878,4.76,551,Clusters of cases
Spain,Europe,3234319,6917.62,29312,62.69,2941,73744,157.73,337,0.72,6,Community transmission
Turkey,Europe,3061520,3630.01,149878,177.71,26182,30316,35.95,693,0.82,138,Community transmission
Germany,Europe,2690523,3211.26,95759,114.29,15813,75212,89.77,1307,1.56,248,Community transmission
Colombia,Americas,2347224,4612.99,37624,73.94,4946,62274,122.39,906,1.78,126,Community transmission
Argentina,Americas,2261577,5003.96,51456,113.85,9405,54823,121.3,787,1.74,152,Community transmission
Mexico,Americas,2203041,1708.67,34034,26.4,5881,199048,154.38,3929,3.05,809,Community transmission
Poland,Europe,2120671,5603.33,163697,432.53,30802,50340,133.01,2308,6.1,579,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1823317,2170.8,52202,62.15,7605,62045,73.87,553,0.66,94,Community transmission
Ukraine,Europe,1579906,3612.55,90883,207.81,14174,30773,70.36,1787,4.09,342,Community transmission
South Africa,Africa,1538961,2594.83,7995,13.48,510,52251,88.1,691,1.17,55,Community transmission
Czechia,Europe,1486510,13880.97,59519,555.79,10972,25258,235.86,1356,12.66,203,Community transmission
Peru,Americas,1481259,4492.5,53655,162.73,8469,50474,153.08,1144,3.47,135,Community transmission
Indonesia,South-East Asia,1476452,539.79,39169,14.32,5227,39983,14.62,1068,0.39,118,Community transmission
Netherlands,Europe,1213366,7081.27,46005,268.49,5636,16339,95.36,223,1.3,49,Community transmission
Chile,Americas,947783,4958.01,42571,222.7,4825,22402,117.19,586,3.07,18,Community transmission
Canada,Americas,942320,2496.73,26452,70.09,3601,22735,60.24,216,0.57,19,Community transmission
Romania,Europe,907007,4714.74,38208,198.61,6149,22442,116.66,744,3.87,174,Community transmission
Belgium,Europe,842775,7271.81,21773,187.87,2,22763,196.41,166,1.43,5,Community transmission
Israel,Europe,828090,9567.17,6447,74.48,0,6101,70.49,63,0.73,0,Community transmission
Portugal,Europe,818212,8024.28,3315,32.51,434,16794,164.7,87,0.85,10,Clusters of cases
Iraq,Eastern Mediterranean,809092,2011.54,35077,87.21,6051,14095,35.04,235,0.58,29,Community transmission
Sweden,Europe,758335,7508.81,33058,327.33,2698,13315,131.84,25,0.25,1,Community transmission
Philippines,Western Pacific,684311,624.48,48617,44.37,6664,13039,11.9,173,0.16,47,Community transmission
Pakistan,Eastern Mediterranean,637042,288.39,24727,11.19,3301,13965,6.32,309,0.14,30,Community transmission
Hungary,Europe,593710,6145.84,61132,632.81,7587,18952,196.18,1531,15.85,249,Community transmission
Switzerland,Europe,583381,6740.69,8425,97.35,13,9478,109.51,33,0.38,0,Community transmission
Bangladesh,South-East Asia,580808,352.67,18056,10.96,3567,8763,5.32,155,0.09,25,Community transmission
Jordan,Eastern Mediterranean,562857,5516.51,57942,567.88,9130,6181,60.58,628,6.15,104,Community transmission
Serbia,Europe,561372,8061.33,35260,506.34,5475,5002,71.83,224,3.22,36,Community transmission
Austria,Europe,516683,5736.84,21615,240,2715,8899,98.81,185,2.05,40,Community transmission
Morocco,Eastern Mediterranean,492842,1335.23,2754,7.46,439,8786,23.8,41,0.11,11,Clusters of cases
Japan,Western Pacific,460897,364.41,9711,7.68,1854,8938,7.07,221,0.17,30,Clusters of cases
Lebanon,Eastern Mediterranean,448721,6574.24,21744,318.57,0,5903,86.49,367,5.38,0,Community transmission
United Arab Emirates,Eastern Mediterranean,446594,4515.43,14230,143.88,2196,1456,14.72,42,0.42,5,Community transmission
Saudi Arabia,Eastern Mediterranean,386300,1109.62,2801,8.05,466,6624,19.03,39,0.11,6,Sporadic cases
Slovakia,Europe,352528,6456.98,10098,184.96,1977,9261,169.63,523,9.58,71,Clusters of cases
Panama,Americas,351667,8150.31,3087,71.54,454,6060,140.45,51,1.18,8,Community transmission
Malaysia,Western Pacific,336808,1040.62,9555,29.52,1268,1246,3.85,26,0.08,2,Clusters of cases
Ecuador,Americas,316807,1795.65,11209,63.53,3237,16540,93.75,240,1.36,36,Community transmission
Bulgaria,Europe,312741,4500.88,25173,362.28,4851,12307,177.12,728,10.48,119,Clusters of cases
Belarus,Europe,312474,3306.84,8328,88.13,1046,2175,23.02,63,0.67,9,Community transmission
Kazakhstan,Europe,285241,1519.12,7335,39.06,0,3586,19.1,75,0.4,0,Clusters of cases
Georgia,Europe,278628,6984.62,2561,64.2,450,3722,93.3,57,1.43,8,Community transmission
Nepal,South-East Asia,276389,948.59,871,2.99,145,3020,10.36,6,0.02,1,Clusters of cases
Bolivia (Plurinational State of),Americas,266086,2279.5,5098,43.67,879,12093,103.6,96,0.82,19,Community transmission
Croatia,Europe,260636,6348.82,7326,178.45,1891,5828,141.96,119,2.9,20,Community transmission
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,258297,5063.24,14818,290.47,2032,2751,53.93,161,3.16,23,Community transmission
Dominican Republic,Americas,250579,2309.93,3215,29.64,402,3289,30.32,41,0.38,6,Community transmission
Azerbaijan,Europe,248307,2448.99,6656,65.65,1333,3384,33.38,86,0.85,18,Clusters of cases
Tunisia,Eastern Mediterranean,247254,2092.07,3815,32.28,747,8637,73.08,174,1.47,27,Community transmission
Greece,Europe,242347,2325.11,18558,178.05,3517,7582,72.74,386,3.7,51,Community transmission
Ireland,Europe,231484,4688.01,3821,77.38,365,4610,93.36,58,1.17,22,Community transmission
Denmark,Europe,227031,3919.6,5189,89.59,754,2403,41.49,8,0.14,1,Community transmission
Kuwait,Eastern Mediterranean,223042,5222.77,9369,219.39,1299,1256,29.41,62,1.45,10,Community transmission
Republic of Moldova,Europe,217715,5397.05,10703,265.32,1621,4622,114.58,220,5.45,34,Community transmission
Costa Rica,Americas,213438,4189.89,2991,58.71,513,2908,57.09,22,0.43,4,Community transmission
Lithuania,Europe,211011,7751.23,4122,151.42,809,3510,128.94,83,3.05,9,Community transmission
Slovenia,Europe,207300,9971.44,5841,280.96,981,4265,205.15,23,1.11,1,Clusters of cases
Paraguay,Americas,198135,2777.9,14787,207.32,2023,3818,53.53,264,3.7,49,Community transmission
Egypt,Eastern Mediterranean,197350,192.85,4510,4.41,641,11720,11.45,289,0.28,40,Clusters of cases
Ethiopia,Africa,190594,165.79,12486,10.86,1692,2693,2.34,120,0.1,19,Community transmission
Guatemala,Americas,189067,1055.32,5076,28.33,0,6730,37.57,111,0.62,0,Community transmission
Armenia,Europe,186184,6283.12,6043,203.93,1164,3398,114.67,116,3.91,14,Community transmission
Honduras,Americas,184031,1858.03,4516,45.59,751,4489,45.32,116,1.17,20,Community transmission
Qatar,Eastern Mediterranean,175332,6085.69,3631,126.03,570,278,9.65,8,0.28,3,Community transmission
Nigeria,Africa,162082,78.63,1008,0.49,214,2031,0.99,13,0.01,1,Community transmission
Bosnia and Herzegovina,Europe,156346,4765.46,9909,302.03,1719,6005,183.03,368,11.22,67,Community transmission
Libya,Eastern Mediterranean,154320,2245.87,6145,89.43,909,2582,37.58,160,2.33,18,Community transmission
Oman,Eastern Mediterranean,153105,2998.16,4547,89.04,741,1644,32.19,27,0.53,11,Community transmission
Venezuela (Bolivarian Republic of),Americas,152508,536.32,5480,19.27,614,1511,5.31,60,0.21,9,Community transmission
Myanmar,South-East Asia,142315,261.56,125,0.23,23,3204,5.89,1,0,0,Clusters of cases
Bahrain,Eastern Mediterranean,138283,8126.76,5146,302.43,733,507,29.8,18,1.06,4,Clusters of cases
Kenya,Africa,123167,229.06,8136,15.13,1127,2048,3.81,123,0.23,25,Community transmission
Albania,Europe,121847,4234.04,3355,116.58,303,2156,74.92,79,2.75,11,Clusters of cases
North Macedonia,Europe,120882,5802.21,6953,333.74,1054,3528,169.34,164,7.87,25,Community transmission
Algeria,Africa,116349,265.33,809,1.84,94,3066,6.99,21,0.05,5,Community transmission
Puerto Rico,Americas,104888,3666.32,1610,56.28,145,2100,73.4,17,0.59,2,Community transmission
China,Western Pacific,102612,6.97,162,0.01,23,4850,0.33,1,0,0,Clusters of cases
Republic of Korea,Western Pacific,100276,195.59,2985,5.82,430,1709,3.33,21,0.04,2,Clusters of cases
Estonia,Europe,99008,7463.66,9677,729.49,1552,823,62.04,78,5.88,14,Clusters of cases
Latvia,Europe,98094,5200.62,3492,185.13,508,1840,97.55,63,3.34,12,Community transmission
Sri Lanka,South-East Asia,91018,425.05,2156,10.07,253,552,2.58,15,0.07,0,Clusters of cases
Ghana,Africa,89893,289.3,1665,5.36,106,734,2.36,36,0.12,3,Community transmission
Norway,Europe,88039,1623.96,6738,124.29,1100,649,11.97,8,0.15,0,Community transmission
Kyrgyzstan,Europe,87652,1343.49,607,9.3,115,1492,22.87,7,0.11,2,Clusters of cases
Zambia,Africa,86779,472.04,1539,8.37,244,1185,6.45,18,0.1,3,Community transmission
Uruguay,Americas,86007,2475.93,12237,352.27,1795,827,23.81,102,2.94,16,Community transmission
Montenegro,Europe,85763,13655.09,0,0,0,1169,186.13,0,0,0,Clusters of cases
Kosovo[1],Europe,83674,4497.68,5337,286.88,705,1776,95.46,63,3.39,10,Community transmission
Uzbekistan,Europe,81678,244.04,820,2.45,119,623,1.86,1,0,1,Clusters of cases
Finland,Europe,72713,1312.34,4862,87.75,640,809,14.6,8,0.14,1,Community transmission
Cuba,Americas,68986,609.06,5261,46.45,736,405,3.58,25,0.22,4,Community transmission
Mozambique,Africa,66496,212.75,1567,5.01,190,750,2.4,18,0.06,3,Community transmission
El Salvador,Americas,63766,983.1,1235,19.04,422,1990,30.68,28,0.43,4,Community transmission
Singapore,Western Pacific,60236,1029.62,99,1.69,15,30,0.51,0,0,0,Sporadic cases
Luxembourg,Europe,59662,9531.01,1551,247.77,165,726,115.98,29,4.63,7,Community transmission
Afghanistan,Eastern Mediterranean,56226,144.43,182,0.47,34,2467,6.34,5,0.01,1,Clusters of cases
Cyprus,Europe,42993,3560.91,2649,219.4,365,246,20.38,5,0.41,1,Clusters of cases
Namibia,Africa,42771,1683.3,1305,51.36,118,498,19.6,24,0.94,4,Community transmission
Côte d’Ivoire,Africa,40868,154.93,2748,10.42,267,222,0.84,8,0.03,0,Community transmission
Uganda,Africa,40719,89.02,126,0.28,32,334,0.73,0,0,-5,Community transmission
Cameroon,Africa,38988,146.87,0,0,0,588,2.22,0,0,0,Community transmission
Senegal,Africa,37956,226.69,894,5.34,36,1020,6.09,39,0.23,4,Community transmission
Botswana,Africa,37559,1597.15,3461,147.17,0,485,20.62,61,2.59,0,Community transmission
Zimbabwe,Africa,36717,247.04,182,1.22,33,1516,10.2,9,0.06,2,Community transmission
Jamaica,Americas,36670,1238.36,3942,133.12,439,545,18.4,38,1.28,3,Community transmission
Malawi,Africa,33323,174.19,429,2.24,53,1099,5.74,11,0.06,1,Community transmission
Sudan,Eastern Mediterranean,31407,71.62,313,0.71,0,2028,4.62,47,0.11,0,Community transmission
Australia,Western Pacific,29220,114.59,67,0.26,9,909,3.56,0,0,0,Clusters of cases
Thailand,South-East Asia,28443,40.75,949,1.36,97,92,0.13,3,0,0,Clusters of cases
Malta,Europe,28409,6434.03,1348,305.29,90,375,84.93,18,4.08,2,Clusters of cases
Democratic Republic of the Congo,Africa,27579,30.79,480,0.54,8,726,0.81,4,0,0,Community transmission
Maldives,South-East Asia,22929,4241.84,968,179.08,139,66,12.21,2,0.37,0,Clusters of cases
Madagascar,Africa,22682,81.91,1326,4.79,66,361,1.3,35,0.13,6,Community transmission
Angola,Africa,21774,66.25,328,1,17,531,1.62,9,0.03,1,Community transmission
Rwanda,Africa,20975,161.94,832,6.42,79,295,2.28,19,0.15,3,Community transmission
Mayotte,Africa,19224,7046.53,379,138.92,218,154,56.45,17,6.23,3,Community transmission
Guinea,Africa,18945,144.26,973,7.41,0,113,0.86,9,0.07,0,Community transmission
French Polynesia,Western Pacific,18598,6620.67,32,11.39,3,141,50.19,0,0,0,Sporadic cases
Gabon,Africa,18078,812.23,1133,50.9,0,108,4.85,7,0.31,0,Community transmission
Syrian Arab Republic,Eastern Mediterranean,17896,102.26,1120,6.4,153,1195,6.83,75,0.43,12,Community transmission
Mauritania,Africa,17658,379.77,171,3.68,28,447,9.61,3,0.06,0,Community transmission
Eswatini,Africa,17296,1490.82,53,4.57,6,668,57.58,5,0.43,0,Community transmission
French Guiana,Americas,16764,5612.66,0,0,0,87,29.13,0,0,0,Community transmission
Cabo Verde,Africa,16555,2977.59,401,72.12,38,163,29.32,6,1.08,3,Community transmission
Réunion,Africa,15561,1738.05,930,103.87,930,102,11.39,15,1.68,15,Community transmission
Tajikistan,Europe,13714,143.79,0,0,0,91,0.95,0,0,0,Pending
Haiti,Americas,12732,111.66,46,0.4,0,251,2.2,0,0,0,Community transmission
Burkina Faso,Africa,12572,60.14,194,0.93,13,145,0.69,1,0,0,Community transmission
Belize,Americas,12410,3121.01,21,5.28,3,316,79.47,0,0,0,Community transmission
Andorra,Europe,11591,15001.62,272,352.04,46,113,146.25,0,0,0,Community transmission
Guadeloupe,Americas,11095,2772.89,370,92.47,0,169,42.24,1,0.25,0,Community transmission
Lesotho,Africa,10685,498.77,155,7.24,147,314,14.66,5,0.23,5,Community transmission
Somalia,Eastern Mediterranean,10531,66.26,931,5.86,162,463,2.91,71,0.45,10,Community transmission
South Sudan,Africa,9919,88.61,306,2.73,29,106,0.95,2,0.02,0,Community transmission
Guyana,Americas,9732,1237.3,494,62.81,64,218,27.72,10,1.27,2,Clusters of cases
Congo,Africa,9681,175.44,352,6.38,117,135,2.45,4,0.07,1,Community transmission
Mali,Africa,9474,46.78,612,3.02,144,368,1.82,8,0.04,7,Community transmission
Togo,Africa,9077,109.64,777,9.39,117,95,1.15,2,0.02,-9,Community transmission
Suriname,Americas,9074,1546.8,40,6.82,7,177,30.17,1,0.17,0,Clusters of cases
Bahamas,Americas,8935,2272.13,134,34.08,0,188,47.81,2,0.51,0,Clusters of cases
Aruba,Americas,8902,8337.86,420,393.38,102,82,76.8,2,1.87,0,Community transmission
Trinidad and Tobago,Americas,7865,561.99,75,5.36,4,141,10.08,1,0.07,1,Community transmission
Guam,Western Pacific,7579,4490.59,13,7.7,3,134,79.4,0,0,0,Clusters of cases
Martinique,Americas,7264,1935.7,227,60.49,0,47,12.52,0,0,0,Community transmission
Benin,Africa,7100,58.57,282,2.33,282,90,0.74,0,0,0,Community transmission
Djibouti,Eastern Mediterranean,6895,697.87,510,51.62,124,64,6.48,1,0.1,0,Community transmission
Equatorial Guinea,Africa,6780,483.26,177,12.62,0,101,7.2,1,0.07,0,Community transmission
Curaçao,Americas,6174,3762.5,936,570.41,133,24,14.63,2,1.22,0,Community transmission
Iceland,Europe,6122,1794.03,35,10.26,3,29,8.5,0,0,0,Community transmission
Mongolia,Western Pacific,5610,171.13,1270,38.74,218,5,0.15,1,0.03,0,Clusters of cases
Gambia,Africa,5303,219.43,284,11.75,48,161,6.66,8,0.33,0,Community transmission
Nicaragua,Americas,5288,79.82,37,0.56,0,177,2.67,1,0.02,0,Community transmission
Central African Republic,Africa,5088,105.35,24,0.5,1,64,1.33,1,0.02,0,Community transmission
Niger,Africa,4939,20.4,69,0.29,21,185,0.76,2,0.01,0,Community transmission
